nbreheures1904	date utc	heure utc	date locale	heure locale	tsl	t	err t	td	err td	hr	err hr	vv	err vv	vd	err vd	psta	err psta	rf1e	err rf1e
h utc	date utc	heure loc	date loc	heure	HAE/HNE	C	Err	C	Err	0-100	Err	km/h	Err	0-360	Err	hPa	Err	kJ/m2/h	Err
1016862	01/01/2020	06	01/01/2020	01	HNE	-3,0	0	-3,0	0	99,0	5.k=1.ROUYN	3,0	0	260,0	0	957,0	0	0,0	ERA5
1016863	01/01/2020	07	01/01/2020	02	HNE	-3,0	0	-3,0	0	99,2	5.k=1.ROUYN	0,0	0	0,0	0	958,0	0	0,0	ERA5
1016864	01/01/2020	08	01/01/2020	03	HNE	-2,9	0	-2,9	0	99,4	5.k=1.ROUYN	5,0	0	220,0	0	958,0	0	0,0	ERA5
1016865	01/01/2020	09	01/01/2020	04	HNE	-2,7	0	-2,7	0	99,6	5.k=1.ROUYN	5,0	0	230,0	0	958,0	0	0,0	ERA5
1016866	01/01/2020	10	01/01/2020	05	HNE	-2,6	0	-2,6	0	99,8	5.k=1.ROUYN	3,0	0	240,0	0	958,0	0	0,0	ERA5
1016867	01/01/2020	11	01/01/2020	06	HNE	-2,6	0	-2,6	0	100,0	5.k=1.ROUYN	11,0	0	270,0	0	958,0	0	0,0	ERA5
1016868	01/01/2020	12	01/01/2020	07	HNE	-3,1	0	-3,2	0	100,0	0	10,0	0	280,0	0	959,0	0	0,0	ERA5
1016869	01/01/2020	13	01/01/2020	08	HNE	-4,3	0	-4,8	0	97,0	0	16,0	0	290,0	0	959,0	0	0,0	ERA5
1016870	01/01/2020	14	01/01/2020	09	HNE	-6,0	0	-6,6	0	96,0	0	13,0	0	280,0	0	960,0	0	36,7	ERA5
1016871	01/01/2020	15	01/01/2020	10	HNE	-6,7	0	-8,0	0	91,0	0	12,0	0	280,0	0	961,0	0	211,7	ERA5
1016872	01/01/2020	16	01/01/2020	11	HNE	-7,1	0	-9,5	0	83,0	0	14,0	0	290,0	0	961,0	0	523,3	ERA5
1016873	01/01/2020	17	01/01/2020	12	HNE	-7,3	0	-9,3	0	86,0	0	17,0	0	270,0	0	961,0	0	635,7	ERA5
1016874	01/01/2020	18	01/01/2020	13	HNE	-7,8	0	-10,3	0	83,0	0	15,0	0	250,0	0	961,0	0	633,6	ERA5
1016875	01/01/2020	19	01/01/2020	14	HNE	-7,6	0	-10,1	0	82,0	0	10,0	0	270,0	0	961,0	0	519,1	ERA5
1016876	01/01/2020	20	01/01/2020	15	HNE	-8,1	0	-10,8	0	81,0	0	12,0	0	270,0	0	962,0	0	438,1	ERA5
1016877	01/01/2020	21	01/01/2020	16	HNE	-8,2	0	-10,6	0	83,0	0	16,0	0	270,0	0	962,0	0	179,7	ERA5
1016878	01/01/2020	22	01/01/2020	17	HNE	-8,6	0	-10,6	0	85,0	0	10,0	0	240,0	0	963,0	0	14,4	ERA5
1016879	01/01/2020	23	01/01/2020	18	HNE	-8,8	0	-11,0	0	84,0	0	12,0	0	240,0	0	964,0	0	0,0	ERA5
1016880	02/01/2020	00	01/01/2020	19	HNE	-9,2	0	-11,2	0	85,0	0	6,0	0	220,0	0	963,0	0	0,0	ERA5
1016881	02/01/2020	01	01/01/2020	20	HNE	-9,2	0	-11,0	0	87,0	0	6,0	0	160,0	0	963,0	0	0,0	ERA5
1016882	02/01/2020	02	01/01/2020	21	HNE	-9,0	0	-10,8	0	87,0	0	3,0	0	160,0	0	963,0	0	0,0	ERA5
1016883	02/01/2020	03	01/01/2020	22	HNE	-9,0	0	-10,6	0	88,0	0	7,0	0	180,0	0	963,0	0	0,0	ERA5
1016884	02/01/2020	04	01/01/2020	23	HNE	-8,7	0	-10,1	0	89,0	0	8,0	0	160,0	0	963,0	0	0,0	ERA5
1016885	02/01/2020	05	02/01/2020	00	HNE	-8,4	0	-9,6	0	92,0	0	5,0	0	170,0	0	963,0	0	0,0	ERA5
1016886	02/01/2020	06	02/01/2020	01	HNE	-8,1	0	-9,1	0	92,0	0	8,0	0	140,0	0	962,0	0	0,0	ERA5
1016887	02/01/2020	07	02/01/2020	02	HNE	-8,2	0	-8,8	0	95,0	0	5,0	0	140,0	0	962,0	0	0,0	ERA5
1016888	02/01/2020	08	02/01/2020	03	HNE	-7,5	0	-8,1	0	95,0	0	8,0	0	120,0	0	962,0	0	0,0	ERA5
1016889	02/01/2020	09	02/01/2020	04	HNE	-6,7	0	-7,2	0	96,0	0	6,0	0	150,0	0	962,0	0	0,0	ERA5
1016890	02/01/2020	10	02/01/2020	05	HNE	-6,0	0	-6,4	0	97,0	0	7,0	0	140,0	0	961,0	0	0,0	ERA5
1016891	02/01/2020	11	02/01/2020	06	HNE	-5,6	0	-5,9	0	98,0	0	7,0	0	150,0	0	961,0	0	0,0	ERA5
1016892	02/01/2020	12	02/01/2020	07	HNE	-5,1	0	-5,3	0	98,0	0	7,0	0	160,0	0	961,0	0	0,0	ERA5
1016893	02/01/2020	13	02/01/2020	08	HNE	-4,4	0	-4,7	0	98,0	0	9,0	0	150,0	0	961,0	0	0,0	ERA5
1016894	02/01/2020	14	02/01/2020	09	HNE	-3,6	0	-3,8	0	99,0	0	11,0	0	170,0	0	961,0	0	54,9	ERA5
1016895	02/01/2020	15	02/01/2020	10	HNE	-2,8	0	-3,1	0	98,0	0	10,0	0	180,0	0	961,0	0	273,2	ERA5
1016896	02/01/2020	16	02/01/2020	11	HNE	-2,0	0	-2,6	0	96,0	0	10,0	0	160,0	0	961,0	0	546,1	ERA5
1016897	02/01/2020	17	02/01/2020	12	HNE	-1,5	0	-2,0	0	96,0	0	8,0	0	160,0	0	960,0	0	561,8	ERA5
1016898	02/01/2020	18	02/01/2020	13	HNE	-0,9	0	-1,5	0	96,0	0	11,0	0	160,0	0	959,0	0	526,0	ERA5
1016899	02/01/2020	19	02/01/2020	14	HNE	-0,9	0	-1,0	0	99,0	0	8,0	0	140,0	0	959,0	0	402,7	ERA5
1016900	02/01/2020	20	02/01/2020	15	HNE	-0,7	0	-0,7	0	100,0	0	8,0	0	150,0	0	958,0	0	117,4	ERA5
1016901	02/01/2020	21	02/01/2020	16	HNE	-0,5	0	-0,5	0	100,0	5.k=1.ROUYN	7,0	0	160,0	0	958,0	0	58,0	ERA5
1016902	02/01/2020	22	02/01/2020	17	HNE	-0,3	0	-0,3	0	100,0	5.k=1.ROUYN	8,0	0	170,0	0	958,0	0	7,2	ERA5
1016903	02/01/2020	23	02/01/2020	18	HNE	-0,1	4.lineaire	-0,1	4.lineaire	100,0	5.k=1.ROUYN	10,0	0	180,0	0	958,0	0	0,0	ERA5
1016904	03/01/2020	00	02/01/2020	19	HNE	0,1	0	0,1	0	100,0	5.k=1.ROUYN	11,0	0	200,0	0	958,0	0	0,0	ERA5
1016905	03/01/2020	01	02/01/2020	20	HNE	0,2	0	0,2	0	100,0	5.k=1.ROUYN	11,0	0	200,0	0	959,0	0	0,0	ERA5
1016906	03/01/2020	02	02/01/2020	21	HNE	0,5	0	0,5	0	100,0	5.k=1.ROUYN	18,0	0	220,0	0	959,0	0	0,0	ERA5
1016907	03/01/2020	03	02/01/2020	22	HNE	0,5	0	0,5	0	100,0	5.k=1.ROUYN	14,0	0	210,0	0	959,0	0	0,0	ERA5
1016908	03/01/2020	04	02/01/2020	23	HNE	0,5	0	0,5	0	100,0	5.k=1.ROUYN	13,0	0	210,0	0	959,0	0	0,0	ERA5
1016909	03/01/2020	05	03/01/2020	00	HNE	0,6	0	0,6	0	100,0	5.k=1.ROUYN	13,0	0	210,0	0	959,0	0	0,0	ERA5
1016910	03/01/2020	06	03/01/2020	01	HNE	0,6	0	0,6	0	100,0	4.lineaire	7,0	0	210,0	0	959,0	0	0,0	ERA5
1016911	03/01/2020	07	03/01/2020	02	HNE	0,6	0	0,6	0	100,0	4.lineaire	7,0	0	210,0	0	959,0	0	0,0	ERA5
1016912	03/01/2020	08	03/01/2020	03	HNE	0,6	0	0,6	0	100,0	4.lineaire	11,0	0	200,0	0	959,0	0	0,0	ERA5
1016913	03/01/2020	09	03/01/2020	04	HNE	0,7	0	0,7	0	100,0	4.lineaire	14,0	0	220,0	0	960,0	0	0,0	ERA5
1016914	03/01/2020	10	03/01/2020	05	HNE	0,8	0	0,7	0	100,0	0	10,0	0	220,0	0	960,0	0	0,0	ERA5
1016915	03/01/2020	11	03/01/2020	06	HNE	0,7	0	0,7	0	100,0	4.lineaire	15,0	0	220,0	0	961,0	0	0,0	ERA5
1016916	03/01/2020	12	03/01/2020	07	HNE	0,8	0	0,7	0	100,0	0	13,0	0	230,0	0	961,0	0	0,0	ERA5
1016917	03/01/2020	13	03/01/2020	08	HNE	0,8	0	0,4	0	97,0	0	14,0	0	230,0	0	961,0	0	0,0	ERA5
1016918	03/01/2020	14	03/01/2020	09	HNE	0,6	0	0,3	0	98,0	0	14,0	0	250,0	0	962,0	0	30,9	ERA5
1016919	03/01/2020	15	03/01/2020	10	HNE	0,8	0	-0,4	0	92,0	0	11,0	0	240,0	0	962,0	0	184,2	ERA5
1016920	03/01/2020	16	03/01/2020	11	HNE	0,9	0	-0,8	0	88,0	0	16,0	0	240,0	0	963,0	0	454,0	ERA5
1016921	03/01/2020	17	03/01/2020	12	HNE	-0,2	0	-0,6	0	97,0	0	24,0	0	290,0	0	963,0	0	581,8	ERA5
1016922	03/01/2020	18	03/01/2020	13	HNE	-0,4	0	-2,7	0	84,0	0	21,0	0	290,0	0	963,0	0	526,1	ERA5
1016923	03/01/2020	19	03/01/2020	14	HNE	-1,7	0	-4,0	0	84,0	0	24,0	0	290,0	0	965,0	0	482,3	ERA5
1016924	03/01/2020	20	03/01/2020	15	HNE	-2,0	0	-5,3	0	78,0	0	23,0	0	270,0	0	966,0	0	284,2	ERA5
