nbreheures1904	date utc	heure utc	date locale	heure locale	tsl	t	err t	td	err td	hr	err hr	vv	err vv	vd	err vd	psta	err psta	rf1e	err rf1e
h utc	date utc	heure loc	date loc	heure	HAE/HNE	C	Err	C	Err	0-100	Err	km/h	Err	0-360	Err	hPa	Err	kJ/m2/h	Err
1016862	01/01/2020	06	01/01/2020	01	HNE	-1,8	0	-2,2	0	97,0	0	15,0709	5.k=1.moyenne	190,0	0	967,0	0	0,0	ERA5
1016863	01/01/2020	07	01/01/2020	02	HNE	-1,9	0	-2,4	0	97,0	0	14,3276	5.k=1.moyenne	180,0	0	967,0	0	0,0	ERA5
1016864	01/01/2020	08	01/01/2020	03	HNE	-2,0	0	-2,4	0	97,0	0	13,6101	5.k=1.moyenne	180,0	0	967,0	0	0,0	ERA5
1016865	01/01/2020	09	01/01/2020	04	HNE	-2,0	0	-2,3	0	98,0	0	12,6914	5.k=1.moyenne	310,0	0	967,0	0	0,0	ERA5
1016866	01/01/2020	10	01/01/2020	05	HNE	-2,1	0	-2,4	0	98,0	0	14,269	5.k=1.moyenne	230,0	0	967,0	0	0,0	ERA5
1016867	01/01/2020	11	01/01/2020	06	HNE	-2,1	0	-2,3	0	99,0	0	14,0595	5.k=1.moyenne	210,0	0	968,0	0	0,0	ERA5
1016868	01/01/2020	12	01/01/2020	07	HNE	-2,1	0	-2,3	0	99,0	0	13,2323	5.k=1.moyenne	250,0	0	968,0	0	0,0	ERA5
1016869	01/01/2020	13	01/01/2020	08	HNE	-2,1	0	-2,2	0	99,0	0	13,1642	5.k=1.moyenne	170,0	0	969,0	0	3,8	ERA5
1016870	01/01/2020	14	01/01/2020	09	HNE	-1,7	0	-1,9	0	99,0	0	13,2323	5.k=1.moyenne	200,0	0	970,0	0	132,5	ERA5
1016871	01/01/2020	15	01/01/2020	10	HNE	-0,8	0	-1,3	0	97,0	0	14,6061	5.k=1.moyenne	240,0	0	970,0	0	334,6	ERA5
1016872	01/01/2020	16	01/01/2020	11	HNE	-0,6	0	-1,5	0	93,0	0	15,2474	5.k=1.moyenne	260,0	0	970,0	0	468,3	ERA5
1016873	01/01/2020	17	01/01/2020	12	HNE	-0,1	0	-1,1	0	93,0	0	16,8542	5.k=1.moyenne	270,0	0	970,0	0	719,1	ERA5
1016874	01/01/2020	18	01/01/2020	13	HNE	0,1	0	-1,5	0	89,0	0	17,011	5.k=1.moyenne	290,0	0	970,0	0	826,1	ERA5
1016875	01/01/2020	19	01/01/2020	14	HNE	0,2	0	-1,1	0	91,0	0	16,8497	5.k=1.moyenne	260,0	0	971,0	0	809,9	ERA5
1016876	01/01/2020	20	01/01/2020	15	HNE	-0,6	0	-1,9	0	91,0	0	16,6531	5.k=1.moyenne	250,0	0	972,0	0	561,8	ERA5
