nbreheures1904	date utc	heure utc	date locale	heure locale	tsl	t	err t	td	err td	hr	err hr	vv	err vv	vd	err vd	psta	err psta	rf1e	err rf1e
h utc	date utc	heure loc	date loc	heure	HAE/HNE	C	Err	C	Err	0-100	Err	km/h	Err	0-360	Err	hPa	Err	kJ/m2/h	Err
1025646	01/01/2021	06	01/01/2021	01	HNE	-6,0	0	-8,5	0	82,0	0	3,0	0	300,0	0	1006,42	5.k=1.moyenne	0,0	ERA5
1025647	01/01/2021	07	01/01/2021	02	HNE	-6,1	0	-8,0	0	86,0	0	3,0	0	60,0	0	1007,33	5.k=1.moyenne	0,0	ERA5
1025648	01/01/2021	08	01/01/2021	03	HNE	-5,5	0	-7,3	0	87,0	0	5,0	0	200,0	0	1007,93	5.k=1.moyenne	0,0	ERA5
1025649	01/01/2021	09	01/01/2021	04	HNE	-4,9	0	-6,7	0	87,0	0	0,0	0	190,0	0	1008,28	5.k=1.moyenne	0,0	ERA5
1025650	01/01/2021	10	01/01/2021	05	HNE	-4,8	0	-6,4	0	89,0	0	4,0	0	160,0	0	1008,57	5.k=1.moyenne	0,0	ERA5
1025651	01/01/2021	11	01/01/2021	06	HNE	-6,1	0	-7,5	0	90,0	0	3,0	0	120,0	0	1009,03	5.k=1.moyenne	0,0	ERA5
1025652	01/01/2021	12	01/01/2021	07	HNE	-7,8	0	-8,5	0	95,0	0	0,0	0	0,0	0	1009,52	5.k=1.moyenne	0,0	ERA5
1025653	01/01/2021	13	01/01/2021	08	HNE	-6,3	0	-7,0	0	95,0	0	3,0	0	150,0	0	1009,92	5.k=1.moyenne	19,8	ERA5
1025654	01/01/2021	14	01/01/2021	09	HNE	-5,8	0	-7,0	0	91,0	0	4,0	0	160,0	0	1010,29	5.k=1.moyenne	343,8	ERA5
1025655	01/01/2021	15	01/01/2021	10	HNE	-2,7	0	-6,3	0	77,0	0	8,0	0	160,0	0	1010,42	5.k=1.moyenne	784,1	ERA5
1025656	01/01/2021	16	01/01/2021	11	HNE	-1,5	0	-7,3	0	65,0	0	5,0	0	180,0	0	1009,94	5.k=1.moyenne	1144,0	ERA5
1025657	01/01/2021	17	01/01/2021	12	HNE	-1,3	0	-6,9	0	66,0	0	7,0	0	160,0	0	1009,17	5.k=1.moyenne	1328,9	ERA5
1025658	01/01/2021	18	01/01/2021	13	HNE	-1,3	0	-6,8	0	66,0	0	8,0	0	170,0	0	1008,59	5.k=1.moyenne	1307,7	ERA5
1025659	01/01/2021	19	01/01/2021	14	HNE	-1,0	0	-6,6	0	66,0	0	6,0	0	130,0	0	1008,34	5.k=1.moyenne	1016,6	ERA5
1025660	01/01/2021	20	01/01/2021	15	HNE	-1,2	0	-6,0	0	69,0	0	7,0	0	160,0	0	1008,27	5.k=1.moyenne	635,6	ERA5
1025661	01/01/2021	21	01/01/2021	16	HNE	-1,4	0	-6,2	0	70,0	0	6,0	0	110,0	0	1007,79	5.k=1.moyenne	227,6	ERA5
1025662	01/01/2021	22	01/01/2021	17	HNE	-1,9	0	-6,7	0	70,0	0	13,0	0	130,0	0	1007,07	5.k=1.moyenne	7,2	ERA5
1025663	01/01/2021	23	01/01/2021	18	HNE	-2,2	0	-6,4	0	73,0	0	8,0	0	130,0	0	1006,55	5.k=1.moyenne	0,0	ERA5
1025664	02/01/2021	00	01/01/2021	19	HNE	-2,5	0	-6,1	0	76,0	0	5,0	0	110,0	0	1006,1	5.k=1.moyenne	0,0	ERA5
1025665	02/01/2021	01	01/01/2021	20	HNE	-2,3	0	-6,7	0	72,0	0	6,0	0	100,0	0	1005,29	5.k=1.moyenne	0,0	ERA5
1025666	02/01/2021	02	01/01/2021	21	HNE	-2,4	0	-6,8	0	72,0	0	7,0	0	100,0	0	1004,25	5.k=1.moyenne	0,0	ERA5
1025667	02/01/2021	03	01/01/2021	22	HNE	-2,6	0	-6,5	0	74,0	0	5,0	0	70,0	0	1003,49	5.k=1.moyenne	0,0	ERA5
1025668	02/01/2021	04	01/01/2021	23	HNE	-2,6	0	-6,6	0	74,0	0	7,0	0	70,0	0	1002,8	5.k=1.moyenne	0,0	ERA5
1025669	02/01/2021	05	02/01/2021	00	HNE	-3,1	0	-3,5	0	97,0	0	11,0	0	120,0	0	1001,91	5.k=1.moyenne	0,0	ERA5
1025670	02/01/2021	06	02/01/2021	01	HNE	-3,3	0	-3,9	0	96,0	0	7,0	0	80,0	0	1001,91	5.k=1.moyenne	0,0	ERA5
1025671	02/01/2021	07	02/01/2021	02	HNE	-3,6	0	-4,1	0	97,0	0	10,0	0	70,0	0	1000,98	5.k=1.moyenne	0,0	ERA5
1025672	02/01/2021	08	02/01/2021	03	HNE	-3,2	0	-4,0	0	95,0	0	13,0	0	80,0	0	999,751	5.k=1.moyenne	0,0	ERA5
1025673	02/01/2021	09	02/01/2021	04	HNE	-2,7	0	-3,3	0	95,0	0	12,0	0	80,0	0	998,384	5.k=1.moyenne	0,0	ERA5
1025674	02/01/2021	10	02/01/2021	05	HNE	-2,5	0	-3,0	0	96,0	0	8,0	0	60,0	0	997,159	5.k=1.moyenne	0,0	ERA5
1025675	02/01/2021	11	02/01/2021	06	HNE	-2,2	0	-2,6	0	97,0	0	12,0	0	60,0	0	996,35	5.k=1.moyenne	0,0	ERA5
1025676	02/01/2021	12	02/01/2021	07	HNE	-2,6	0	-3,0	0	97,0	0	11,0	0	30,0	0	995,996	5.k=1.moyenne	0,0	ERA5
1025677	02/01/2021	13	02/01/2021	08	HNE	-2,9	0	-3,4	0	97,0	0	11,0	0	30,0	0	995,704	5.k=1.moyenne	2,0	ERA5
1025678	02/01/2021	14	02/01/2021	09	HNE	-3,3	0	-4,0	0	95,0	0	12,0	0	40,0	0	995,474	5.k=1.moyenne	49,3	ERA5
1025679	02/01/2021	15	02/01/2021	10	HNE	-3,7	0	-4,6	0	94,0	0	10,0	0	350,0	0	995,384	5.k=1.moyenne	181,2	ERA5
1025680	02/01/2021	16	02/01/2021	11	HNE	-4,3	0	-5,4	0	92,0	0	10,0	0	350,0	0	994,924	5.k=1.moyenne	235,2	ERA5
1025681	02/01/2021	17	02/01/2021	12	HNE	-3,7	0	-5,0	0	90,0	0	10,0	0	340,0	0	994,701	5.k=1.moyenne	262,2	ERA5
1025682	02/01/2021	18	02/01/2021	13	HNE	-3,5	0	-5,2	0	88,0	0	12,0	0	340,0	0	994,736	5.k=1.moyenne	654,4	ERA5
1025683	02/01/2021	19	02/01/2021	14	HNE	-3,1	0	-5,3	0	85,0	0	9,0	0	320,0	0	995,165	5.k=1.moyenne	636,6	ERA5
1025684	02/01/2021	20	02/01/2021	15	HNE	-2,4	0	-5,9	0	77,0	0	2,0	0	300,0	0	995,988	5.k=1.moyenne	424,2	ERA5
1025685	02/01/2021	21	02/01/2021	16	HNE	-2,6	0	-5,6	0	80,0	0	4,0	0	250,0	0	996,753	5.k=1.moyenne	199,6	ERA5
1025686	02/01/2021	22	02/01/2021	17	HNE	-5,7	0	-7,4	0	88,0	0	7,0	0	210,0	0	997,383	5.k=1.moyenne	9,0	ERA5
1025687	02/01/2021	23	02/01/2021	18	HNE	-3,7	0	-5,4	0	88,0	0	6,0	0	240,0	0	997,858	5.k=1.moyenne	0,0	ERA5
1025688	03/01/2021	00	02/01/2021	19	HNE	-1,5	0	-3,9	0	83,0	0	11,0	0	270,0	0	998,53	5.k=1.moyenne	0,0	ERA5
1025689	03/01/2021	01	02/01/2021	20	HNE	-1,8	0	-4,0	0	85,0	0	8,0	0	270,0	0	999,105	5.k=1.moyenne	0,0	ERA5
1025690	03/01/2021	02	02/01/2021	21	HNE	-1,6	0	-4,0	0	83,0	0	8,0	0	290,0	0	999,623	5.k=1.moyenne	0,0	ERA5
1025691	03/01/2021	03	02/01/2021	22	HNE	-1,7	0	-4,0	0	84,0	0	7,0	0	290,0	0	999,847	5.k=1.moyenne	0,0	ERA5
1025692	03/01/2021	04	02/01/2021	23	HNE	-2,5	0	-4,3	0	87,0	0	1,0	0	20,0	0	999,994	5.k=1.moyenne	0,0	ERA5
1025693	03/01/2021	05	03/01/2021	00	HNE	-2,9	0	-4,4	0	89,0	0	1,0	0	360,0	0	1000,18	5.k=1.moyenne	0,0	ERA5
1025694	03/01/2021	06	03/01/2021	01	HNE	-3,2	0	-4,5	0	91,0	0	3,0	0	50,0	0	1000,18	5.k=1.moyenne	0,0	ERA5
1025695	03/01/2021	07	03/01/2021	02	HNE	-2,6	0	-4,7	0	85,0	0	3,0	0	90,0	0	1000,55	5.k=1.moyenne	0,0	ERA5
1025696	03/01/2021	08	03/01/2021	03	HNE	-2,7	0	-5,0	0	84,0	0	6,0	0	130,0	0	1000,74	5.k=1.moyenne	0,0	ERA5
1025697	03/01/2021	09	03/01/2021	04	HNE	-3,0	0	-5,1	0	86,0	0	4,0	0	180,0	0	1000,84	5.k=1.moyenne	0,0	ERA5
1025698	03/01/2021	10	03/01/2021	05	HNE	-3,5	0	-4,8	0	91,0	0	0,0	0	0,0	0	1000,85	5.k=1.moyenne	0,0	ERA5
1025699	03/01/2021	11	03/01/2021	06	HNE	-3,4	0	-4,7	0	91,0	0	3,0	0	20,0	0	1000,83	5.k=1.moyenne	0,0	ERA5
1025700	03/01/2021	12	03/01/2021	07	HNE	-3,6	0	-4,8	0	91,0	0	6,0	0	150,0	0	1000,83	5.k=1.moyenne	0,0	ERA5
