nbreheures1904	date utc	heure utc	date locale	heure locale	tsl	t	err t	td	err td	hr	err hr	vv	err vv	vd	err vd	psta	err psta	rf1e	err rf1e
h utc	date utc	heure loc	date loc	heure	HAE/HNE	C	Err	C	Err	0-100	Err	km/h	Err	0-360	Err	hPa	Err	kJ/m2/h	Err
1034406	01/01/2022	06	01/01/2022	01	HNE	-1,8	0	-2,0	0	99,0	0	12,0	0	50,0	0	996,0	0	0,0	ERA5
1034407	01/01/2022	07	01/01/2022	02	HNE	-1,8	0	-1,9	0	99,0	0	9,0	0	60,0	0	996,0	0	0,0	ERA5
1034408	01/01/2022	08	01/01/2022	03	HNE	-1,9	0	-2,0	0	99,0	0	12,0	0	70,0	0	996,0	0	0,0	ERA5
1034409	01/01/2022	09	01/01/2022	04	HNE	-1,8	0	-1,9	0	99,0	0	11,0	0	50,0	0	995,0	0	0,0	ERA5
1034410	01/01/2022	10	01/01/2022	05	HNE	-1,7	0	-1,8	0	99,0	0	13,0	0	70,0	0	994,0	0	0,0	ERA5
1034411	01/01/2022	11	01/01/2022	06	HNE	-1,5	0	-1,6	0	99,0	0	7,0	0	70,0	0	994,0	0	0,0	ERA5
1034412	01/01/2022	12	01/01/2022	07	HNE	-1,4	0	-1,5	0	99,0	0	12,0	0	80,0	0	992,0	0	0,0	ERA5
1034413	01/01/2022	13	01/01/2022	08	HNE	-1,2	0	-1,3	0	99,0	0	8,0	0	30,0	0	993,0	0	1,4	ERA5
1034414	01/01/2022	14	01/01/2022	09	HNE	-1,0	0	-1,2	0	99,0	0	9,0	0	40,0	0	993,0	0	58,9	ERA5
1034415	01/01/2022	15	01/01/2022	10	HNE	-0,8	0	-0,9	0	99,0	0	13,0	0	320,0	0	994,0	0	83,2	ERA5
1034416	01/01/2022	16	01/01/2022	11	HNE	-0,4	0	-0,5	0	99,0	0	5,0	0	290,0	0	993,0	0	124,6	ERA5
1034417	01/01/2022	17	01/01/2022	12	HNE	0,2	0	0,1	0	99,0	0	16,0	0	320,0	0	993,0	0	272,2	ERA5
1034418	01/01/2022	18	01/01/2022	13	HNE	0,8	0	0,7	0	99,0	0	11,0	0	340,0	0	993,0	0	459,5	ERA5
1034419	01/01/2022	19	01/01/2022	14	HNE	0,8	0	0,4	0	98,0	0	7,0	0	270,0	0	993,0	0	242,3	ERA5
1034420	01/01/2022	20	01/01/2022	15	HNE	1,2	0	-0,1	0	91,0	0	18,0	0	320,0	0	993,0	0	145,2	ERA5
1034421	01/01/2022	21	01/01/2022	16	HNE	1,2	0	-0,6	0	88,0	0	18,0	0	330,0	0	994,0	0	55,3	ERA5
1034422	01/01/2022	22	01/01/2022	17	HNE	-0,3	0	-2,1	0	88,0	0	26,0	0	330,0	0	995,0	0	6,5	ERA5
1034423	01/01/2022	23	01/01/2022	18	HNE	-1,7	0	-4,3	0	82,0	0	26,0	0	320,0	0	996,0	0	0,0	ERA5
1034424	02/01/2022	00	01/01/2022	19	HNE	-2,3	0	-5,2	0	80,0	0	20,0	0	330,0	0	996,0	0	0,0	ERA5
1034425	02/01/2022	01	01/01/2022	20	HNE	-2,5	0	-6,2	0	76,0	0	22,0	0	340,0	0	997,0	0	0,0	ERA5
1034426	02/01/2022	02	01/01/2022	21	HNE	-3,0	0	-6,9	0	75,0	0	18,0	0	330,0	0	997,0	0	0,0	ERA5
1034427	02/01/2022	03	01/01/2022	22	HNE	-4,3	0	-7,7	0	78,0	0	26,0	0	330,0	0	996,0	0	0,0	ERA5
1034428	02/01/2022	04	01/01/2022	23	HNE	-5,5	0	-8,9	0	77,0	0	22,0	0	340,0	0	996,0	0	0,0	ERA5
1034429	02/01/2022	05	02/01/2022	00	HNE	-7,0	0	-10,4	0	77,0	0	21,0	0	320,0	0	996,0	0	0,0	ERA5
1034430	02/01/2022	06	02/01/2022	01	HNE	-8,3	0	-11,9	0	75,0	0	29,0	0	320,0	0	996,0	0	0,0	ERA5
1034431	02/01/2022	07	02/01/2022	02	HNE	-8,8	0	-12,5	0	75,0	0	23,0	0	320,0	0	996,0	0	0,0	ERA5
1034432	02/01/2022	08	02/01/2022	03	HNE	-9,1	0	-13,0	0	74,0	0	23,0	0	320,0	0	997,0	0	0,0	ERA5
1034433	02/01/2022	09	02/01/2022	04	HNE	-9,8	0	-13,6	0	74,0	0	23,0	0	330,0	0	996,0	0	0,0	ERA5
1034434	02/01/2022	10	02/01/2022	05	HNE	-10,3	0	-14,3	0	73,0	0	19,0	0	330,0	0	996,0	0	0,0	ERA5
1034435	02/01/2022	11	02/01/2022	06	HNE	-10,6	0	-14,7	0	72,0	0	25,0	0	320,0	0	996,0	0	0,0	ERA5
