nbreheures1904	date utc	heure utc	date locale	heure locale	tsl	t	err t	td	err td	hr	err hr	vv	err vv	vd	err vd	psta	err psta	rf1e	err rf1e
h utc	date utc	heure loc	date loc	heure	HAE/HNE	C	Err	C	Err	0-100	Err	km/h	Err	0-360	Err	hPa	Err	kJ/m2/h	Err
1043166	01/01/2023	06	01/01/2023	01	HNE	1,5	0	1,5	0	100,0	0	10,0	0	50,0	0	995,0	0	0,0	ERA5
1043167	01/01/2023	07	01/01/2023	02	HNE	1,8	0	1,8	0	100,0	0	7,0	0	70,0	0	995,0	0	0,0	ERA5
1043168	01/01/2023	08	01/01/2023	03	HNE	2,2	0	2,2	0	100,0	0	5,0	0	40,0	0	994,0	0	0,0	ERA5
1043169	01/01/2023	09	01/01/2023	04	HNE	1,7	0	1,7	0	100,0	0	10,0	0	70,0	0	994,0	0	0,0	ERA5
1043170	01/01/2023	10	01/01/2023	05	HNE	1,9	0	1,9	0	100,0	0	13,0	0	80,0	0	994,0	0	0,0	ERA5
1043171	01/01/2023	11	01/01/2023	06	HNE	1,4	0	1,4	0	100,0	0	4,0	0	190,0	0	995,0	0	0,0	ERA5
1043172	01/01/2023	12	01/01/2023	07	HNE	1,1	0	1,1	0	100,0	0	9,0	0	210,0	0	996,0	0	0,0	ERA5
1043173	01/01/2023	13	01/01/2023	08	HNE	1,3	0	1,3	0	100,0	0	7,0	0	200,0	0	997,0	0	5,2	ERA5
1043174	01/01/2023	14	01/01/2023	09	HNE	1,2	0	1,2	0	100,0	0	6,0	0	160,0	0	997,0	0	105,5	ERA5
1043175	01/01/2023	15	01/01/2023	10	HNE	0,9	0	0,9	0	100,0	0	5,0	0	180,0	0	999,0	0	321,0	ERA5
1043176	01/01/2023	16	01/01/2023	11	HNE	1,0	0	1,0	0	100,0	0	3,0	0	150,0	0	999,0	0	639,3	ERA5
1043177	01/01/2023	17	01/01/2023	12	HNE	0,9	0	0,9	0	100,0	0	5,0	0	70,0	0	999,0	0	661,2	ERA5
1043178	01/01/2023	18	01/01/2023	13	HNE	1,0	0	1,0	0	100,0	0	1,0	0	0,0	0	999,0	0	673,7	ERA5
1043179	01/01/2023	19	01/01/2023	14	HNE	1,1	0	1,1	0	100,0	0	1,0	0	0,0	0	999,0	0	481,7	ERA5
1043180	01/01/2023	20	01/01/2023	15	HNE	1,3	0	-0,5	0	88,0	0	16,0	0	240,0	0	1000,0	0	457,3	ERA5
1043181	01/01/2023	21	01/01/2023	16	HNE	0,8	0	-1,9	0	82,0	0	17,0	0	260,0	0	1001,0	0	150,6	ERA5
1043182	01/01/2023	22	01/01/2023	17	HNE	0,6	0	-3,1	0	76,0	0	16,0	0	260,0	0	1002,0	0	0,1	ERA5
1043183	01/01/2023	23	01/01/2023	18	HNE	-0,1	0	-3,9	0	76,0	0	14,0	0	280,0	0	1002,0	0	0,0	ERA5
1043184	02/01/2023	00	01/01/2023	19	HNE	-0,9	0	-4,8	0	75,0	0	12,0	0	280,0	0	1003,0	0	0,0	ERA5
1043185	02/01/2023	01	01/01/2023	20	HNE	-1,3	0	-5,7	0	72,0	0	12,0	0	320,0	0	1003,0	0	0,0	ERA5
1043186	02/01/2023	02	01/01/2023	21	HNE	-2,4	0	-5,6	0	79,0	0	7,0	0	280,0	0	1004,0	0	0,0	ERA5
