nbreheures1904	date utc	heure utc	date locale	heure locale	tsl	t	err t	td	err td	hr	err hr	vv	err vv	vd	err vd	psta	err psta	rf1e	err rf1e
h utc	date utc	heure loc	date loc	heure	HAE/HNE	C	Err	C	Err	0-100	Err	km/h	Err	0-360	Err	hPa	Err	kJ/m2/h	Err
1060710	01/01/2025	06	01/01/2025	01	HNE	-1,1	0	-1,2	0	99,0	0	8,0	0	160,0	0	962,0	0	0,0	ERA5
1060711	01/01/2025	07	01/01/2025	02	HNE	-1,1	0	-1,4	0	98,0	0	0,0	0	0,0	0	962,0	0	0,0	ERA5
1060712	01/01/2025	08	01/01/2025	03	HNE	-1,2	0	-1,5	0	98,0	0	0,0	0	0,0	0	962,0	0	0,0	ERA5
1060713	01/01/2025	09	01/01/2025	04	HNE	-1,1	0	-1,2	0	99,0	0	4,0	0	70,0	0	962,0	0	0,0	ERA5
1060714	01/01/2025	10	01/01/2025	05	HNE	-1,0	0	-1,0	0	100,0	0	5,0	0	70,0	0	962,0	0	0,0	ERA5
1060715	01/01/2025	11	01/01/2025	06	HNE	-0,9	0	-0,9	0	100,0	0	8,0	0	70,0	0	962,0	0	0,0	ERA5
1060716	01/01/2025	12	01/01/2025	07	HNE	-0,8	0	-0,8	0	100,0	0	8,0	0	70,0	0	962,0	0	0,0	ERA5
1060717	01/01/2025	13	01/01/2025	08	HNE	-0,8	0	-0,8	0	100,0	0	11,0	0	50,0	0	961,0	0	0,0	ERA5
1060718	01/01/2025	14	01/01/2025	09	HNE	-0,7	0	-0,7	0	100,0	0	11,0	0	50,0	0	960,0	0	74,2	ERA5
1060719	01/01/2025	15	01/01/2025	10	HNE	-0,6	0	-0,7	0	99,0	0	8,0	0	70,0	0	960,0	0	274,5	ERA5
1060720	01/01/2025	16	01/01/2025	11	HNE	-0,6	0	-0,9	0	98,0	0	13,0	0	80,0	0	960,0	0	408,5	ERA5
1060721	01/01/2025	17	01/01/2025	12	HNE	-0,4	0	-0,7	0	98,0	0	9,0	0	60,0	0	959,0	0	425,9	ERA5
1060722	01/01/2025	18	01/01/2025	13	HNE	-0,5	0	-0,9	0	97,0	0	9,0	0	50,0	0	958,0	0	384,1	ERA5
1060723	01/01/2025	19	01/01/2025	14	HNE	-0,4	0	-0,7	0	98,0	0	13,0	0	40,0	0	957,0	0	271,9	ERA5
1060724	01/01/2025	20	01/01/2025	15	HNE	-0,3	0	-0,6	0	98,0	0	13,0	0	30,0	0	957,0	0	166,5	ERA5
1060725	01/01/2025	21	01/01/2025	16	HNE	-0,3	0	-0,6	0	98,0	0	13,0	0	10,0	0	956,0	0	53,2	ERA5
