nbreheures1904	date utc	heure utc	date locale	heure locale	tsl	t	err t	td	err td	hr	err hr	vv	err vv	vd	err vd	psta	err psta	rf1e	err rf1e
h utc	date utc	heure loc	date loc	heure	HAE/HNE	C	Err	C	Err	0-100	Err	km/h	Err	0-360	Err	hPa	Err	kJ/m2/h	Err
1060710	01/01/2025	06	01/01/2025	01	HNE	1,8	0	-1,2	0	80,0	0	14,0	0	30,0	0	1006,0	0	0,0	ERA5
1060711	01/01/2025	07	01/01/2025	02	HNE	1,7	0	-1,2	0	81,0	0	13,0	0	40,0	0	1007,0	0	0,0	ERA5
1060712	01/01/2025	08	01/01/2025	03	HNE	1,7	0	-1,3	0	80,0	0	13,0	0	30,0	0	1006,0	0	0,0	ERA5
1060713	01/01/2025	09	01/01/2025	04	HNE	1,8	0	-1,1	0	81,0	0	16,0	0	30,0	0	1005,0	0	0,0	ERA5
1060714	01/01/2025	10	01/01/2025	05	HNE	1,7	0	-1,1	0	82,0	0	18,0	0	30,0	0	1004,0	0	0,0	ERA5
1060715	01/01/2025	11	01/01/2025	06	HNE	1,9	0	-0,8	0	82,0	0	20,0	0	40,0	0	1003,0	0	0,0	ERA5
1060716	01/01/2025	12	01/01/2025	07	HNE	2,0	0	-0,4	0	84,0	0	12,0	0	40,0	0	1002,0	0	0,0	ERA5
1060717	01/01/2025	13	01/01/2025	08	HNE	2,3	0	-0,3	0	83,0	0	10,0	0	40,0	0	1003,0	0	6,9	ERA5
1060718	01/01/2025	14	01/01/2025	09	HNE	1,5	0	0,1	0	90,0	0	16,0	0	50,0	0	1002,0	0	84,2	ERA5
1060719	01/01/2025	15	01/01/2025	10	HNE	1,6	0	0,6	0	93,0	0	15,0	0	30,0	0	1002,0	0	169,2	ERA5
1060720	01/01/2025	16	01/01/2025	11	HNE	0,8	0	0,1	0	96,0	0	14,0	0	40,0	0	1000,0	0	167,5	ERA5
1060721	01/01/2025	17	01/01/2025	12	HNE	0,6	0	0,2	0	97,0	0	11,0	0	50,0	0	999,0	0	207,7	ERA5
1060722	01/01/2025	18	01/01/2025	13	HNE	0,8	0	0,4	0	97,0	0	13,0	0	40,0	0	997,0	0	153,3	ERA5
1060723	01/01/2025	19	01/01/2025	14	HNE	0,8	0	0,3	0	97,0	0	15,0	0	40,0	0	997,0	0	201,3	ERA5
1060724	01/01/2025	20	01/01/2025	15	HNE	0,8	0	0,3	0	96,0	0	13,0	0	40,0	0	996,0	0	123,8	ERA5
1060725	01/01/2025	21	01/01/2025	16	HNE	1,0	0	0,5	0	96,0	0	10,0	0	30,0	0	996,0	0	34,8	ERA5
1060726	01/01/2025	22	01/01/2025	17	HNE	1,2	0	0,6	0	96,0	0	10,0	0	40,0	0	996,0	0	0,3	ERA5
1060727	01/01/2025	23	01/01/2025	18	HNE	0,9	0	0,4	0	96,0	0	11,0	0	50,0	0	995,0	0	0,0	ERA5
1060728	02/01/2025	00	01/01/2025	19	HNE	0,9	0	0,4	0	97,0	0	8,0	0	50,0	0	995,0	0	0,0	ERA5
1060729	02/01/2025	01	01/01/2025	20	HNE	0,9	0	0,4	0	97,0	0	9,0	0	50,0	0	994,0	0	0,0	ERA5
1060730	02/01/2025	02	01/01/2025	21	HNE	0,8	0	0,4	0	97,0	0	10,0	0	50,0	0	994,0	0	0,0	ERA5
1060731	02/01/2025	03	01/01/2025	22	HNE	0,6	0	0,1	0	97,0	0	5,0	0	10,0	0	994,0	0	0,0	ERA5
